This job can be monitored from: https://job.c3se.chalmers.se/alvis/6415190
============================================================
Run started: 2026-04-15 15:54:01
Log file:    /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/32_condchannels/training.log
============================================================
Using device: cuda
Train=425, Val=75, Test=100
Loaded DVF stats: mean=-3.174312, std=10.820530
Resumed from epoch 5 | Best val loss: 0.7812
Epoch 035/600 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.05998 MSE=0.05781 Smooth=0.00217] | Val   [Total=0.11247 MSE=0.10321 Smooth=0.00926] *** BEST ***
Epoch 036/600 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.08684 MSE=0.08512 Smooth=0.00172] | Val   [Total=0.11064 MSE=0.10105 Smooth=0.00958] *** BEST ***
Epoch 037/600 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.06818 MSE=0.06619 Smooth=0.00199] | Val   [Total=0.10921 MSE=0.10020 Smooth=0.00900] *** BEST ***
Epoch 038/600 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.08050 MSE=0.07834 Smooth=0.00216] | Val   [Total=0.10712 MSE=0.09825 Smooth=0.00886] *** BEST ***
Epoch 039/600 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.06440 MSE=0.06200 Smooth=0.00240] | Val   [Total=0.10679 MSE=0.09739 Smooth=0.00939] *** BEST ***
Epoch 040/600 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.07881 MSE=0.07672 Smooth=0.00209] | Val   [Total=0.10781 MSE=0.09800 Smooth=0.00981]
Epoch 041/600 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.06394 MSE=0.06177 Smooth=0.00217] | Val   [Total=0.10470 MSE=0.09633 Smooth=0.00837] *** BEST ***
Epoch 042/600 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.06558 MSE=0.06349 Smooth=0.00209] | Val   [Total=0.10197 MSE=0.09375 Smooth=0.00822] *** BEST ***
Epoch 043/600 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.06234 MSE=0.05989 Smooth=0.00245] | Val   [Total=0.10164 MSE=0.09378 Smooth=0.00786] *** BEST ***
Epoch 044/600 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.04968 MSE=0.04799 Smooth=0.00170] | Val   [Total=0.10106 MSE=0.09272 Smooth=0.00834] *** BEST ***
Epoch 045/600 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.06568 MSE=0.06430 Smooth=0.00138] | Val   [Total=0.10063 MSE=0.09282 Smooth=0.00781] *** BEST ***
Epoch 046/600 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.05976 MSE=0.05772 Smooth=0.00203] | Val   [Total=0.09838 MSE=0.09073 Smooth=0.00765] *** BEST ***
Epoch 047/600 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.06432 MSE=0.06210 Smooth=0.00222] | Val   [Total=0.09617 MSE=0.08899 Smooth=0.00718] *** BEST ***
Epoch 048/600 | λ=1.00e-04 | LR=9.94e-05 | Train [Total=0.05547 MSE=0.05380 Smooth=0.00166] | Val   [Total=0.09600 MSE=0.08791 Smooth=0.00809] *** BEST ***
Epoch 049/600 | λ=1.00e-04 | LR=9.94e-05 | Train [Total=0.06521 MSE=0.06332 Smooth=0.00189] | Val   [Total=0.09466 MSE=0.08738 Smooth=0.00728] *** BEST ***
Epoch 050/600 | λ=1.00e-04 | LR=9.94e-05 | Train [Total=0.06043 MSE=0.05899 Smooth=0.00145] | Val   [Total=0.09363 MSE=0.08667 Smooth=0.00696] *** BEST ***
Epoch 051/600 | λ=1.00e-04 | LR=9.94e-05 | Train [Total=0.05662 MSE=0.05508 Smooth=0.00153] | Val   [Total=0.09509 MSE=0.08595 Smooth=0.00914]
Epoch 052/600 | λ=1.00e-04 | LR=9.93e-05 | Train [Total=0.05758 MSE=0.05519 Smooth=0.00239] | Val   [Total=0.09092 MSE=0.08412 Smooth=0.00680] *** BEST ***
Epoch 053/600 | λ=1.00e-04 | LR=9.93e-05 | Train [Total=0.04901 MSE=0.04721 Smooth=0.00180] | Val   [Total=0.08984 MSE=0.08323 Smooth=0.00660] *** BEST ***
Epoch 054/600 | λ=1.00e-04 | LR=9.93e-05 | Train [Total=0.07112 MSE=0.06953 Smooth=0.00159] | Val   [Total=0.09057 MSE=0.08366 Smooth=0.00691]
Epoch 055/600 | λ=1.00e-04 | LR=9.93e-05 | Train [Total=0.04360 MSE=0.04172 Smooth=0.00188] | Val   [Total=0.08807 MSE=0.08122 Smooth=0.00685] *** BEST ***
Epoch 056/600 | λ=1.00e-04 | LR=9.92e-05 | Train [Total=0.05673 MSE=0.05510 Smooth=0.00163] | Val   [Total=0.08643 MSE=0.07997 Smooth=0.00647] *** BEST ***
Epoch 057/600 | λ=1.00e-04 | LR=9.92e-05 | Train [Total=0.05724 MSE=0.05544 Smooth=0.00180] | Val   [Total=0.08579 MSE=0.07945 Smooth=0.00634] *** BEST ***
