This job can be monitored from: https://job.c3se.chalmers.se/alvis/6316711
============================================================
Run started: 2026-04-03 16:57:43
Log file:    /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/training.log
============================================================
Using device: cuda
Train=425, Val=75, Test=100
Computing global DVF mean/std over training set...
DVF global mean=-3.190084, std=10.835453
No checkpoint found — starting from scratch
Epoch 030/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.03229 MSE=0.03144 Smooth=0.00085] | Val   [Total=0.05982 MSE=0.05606 Smooth=0.00376] *** BEST ***
Epoch 031/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.04643 MSE=0.04550 Smooth=0.00092] | Val   [Total=0.05758 MSE=0.05334 Smooth=0.00425] *** BEST ***
Epoch 032/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.03725 MSE=0.03621 Smooth=0.00103] | Val   [Total=0.05736 MSE=0.05414 Smooth=0.00322] *** BEST ***
Epoch 033/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.02891 MSE=0.02817 Smooth=0.00074] | Val   [Total=0.05701 MSE=0.05322 Smooth=0.00378] *** BEST ***
Epoch 034/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.04515 MSE=0.04434 Smooth=0.00081] | Val   [Total=0.05529 MSE=0.05150 Smooth=0.00379] *** BEST ***
Epoch 035/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.04660 MSE=0.04576 Smooth=0.00084] | Val   [Total=0.05316 MSE=0.04981 Smooth=0.00334] *** BEST ***
Epoch 036/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.03845 MSE=0.03767 Smooth=0.00078] | Val   [Total=0.05070 MSE=0.04760 Smooth=0.00311] *** BEST ***
Epoch 037/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.03706 MSE=0.03632 Smooth=0.00074] | Val   [Total=0.05015 MSE=0.04671 Smooth=0.00343] *** BEST ***
Epoch 038/1000 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.03264 MSE=0.03206 Smooth=0.00058] | Val   [Total=0.04647 MSE=0.04318 Smooth=0.00328] *** BEST ***
Epoch 039/1000 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.04167 MSE=0.04092 Smooth=0.00074] | Val   [Total=0.04638 MSE=0.04322 Smooth=0.00316] *** BEST ***
Epoch 040/1000 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.02932 MSE=0.02846 Smooth=0.00085] | Val   [Total=0.04735 MSE=0.04469 Smooth=0.00266]
Epoch 041/1000 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.03464 MSE=0.03408 Smooth=0.00056] | Val   [Total=0.04381 MSE=0.04032 Smooth=0.00349] *** BEST ***
Epoch 042/1000 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.03677 MSE=0.03603 Smooth=0.00074] | Val   [Total=0.04219 MSE=0.03952 Smooth=0.00267] *** BEST ***
Epoch 043/1000 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.03342 MSE=0.03280 Smooth=0.00062] | Val   [Total=0.04111 MSE=0.03857 Smooth=0.00254] *** BEST ***
Epoch 044/1000 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.02903 MSE=0.02830 Smooth=0.00072] | Val   [Total=0.04613 MSE=0.04339 Smooth=0.00274]
Epoch 045/1000 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.04242 MSE=0.04184 Smooth=0.00058] | Val   [Total=0.03734 MSE=0.03517 Smooth=0.00217] *** BEST ***
Epoch 046/1000 | λ=1.00e-04 | LR=9.95e-05 | Train [Total=0.02328 MSE=0.02267 Smooth=0.00061] | Val   [Total=0.04128 MSE=0.03891 Smooth=0.00237]
