This job can be monitored from: https://job.c3se.chalmers.se/alvis/6342330
============================================================
Real Data Fine-tuning — started 2026-04-06 16:34:22
Log: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real/finetune_real.log
Pretrained: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg/best_model.pth
Saving to:  /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real
LR=1e-05  WD=0.0001  epochs=150  smooth_lambda=1e-07
Train cases: ['copd01', 'copd02', 'copd03', 'copd04', 'copd05', 'copd06', 'copd07', 'copd08']
Test  cases: ['copd09', 'copd10']  (never used in training)
============================================================
Device: cuda

=== Loading training cases ===
  copd01  shape=(3, 128, 128, 64)  sample_mean=6.715 mm  sample_std=13.992 mm  normalised range=[-3.39, 3.25]
  copd02  shape=(3, 128, 128, 64)  sample_mean=5.153 mm  sample_std=9.085 mm  normalised range=[-3.33, 3.64]
  copd03  shape=(3, 128, 128, 64)  sample_mean=-0.831 mm  sample_std=7.559 mm  normalised range=[-3.90, 3.06]
  copd04  shape=(3, 128, 128, 64)  sample_mean=-2.785 mm  sample_std=18.562 mm  normalised range=[-3.30, 2.82]
  copd05  shape=(3, 128, 128, 64)  sample_mean=1.828 mm  sample_std=20.139 mm  normalised range=[-2.75, 2.62]
  copd06  shape=(3, 128, 128, 64)  sample_mean=3.215 mm  sample_std=14.541 mm  normalised range=[-3.12, 3.31]
  copd07  shape=(3, 128, 128, 64)  sample_mean=-2.134 mm  sample_std=11.971 mm  normalised range=[-3.03, 2.36]
  copd08  shape=(3, 128, 128, 64)  sample_mean=-1.276 mm  sample_std=15.704 mm  normalised range=[-3.85, 2.23]
Train batches per epoch: 40

Loaded CFG pretrained weights from: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg/best_model.pth
Starting real data fine-tuning from scratch...

 Epoch       Train         MSE      Smooth      Time              
-----------------------------------------------------------------
    95     0.07760     0.07760     0.46919     1.4s
    96     0.03397     0.03397     0.10259     1.4s
    97     0.06889     0.06889     0.13618     1.4s
    98     0.04461     0.04461     0.25671     1.4s
    99     0.02358     0.02358     0.33491     1.4s
   100     0.02565     0.02565     0.21050     1.4s
   101     0.04897     0.04897     0.32123     1.4s
   102     0.03197     0.03197     0.16179     1.4s
   103     0.02279     0.02279     0.29086     1.4s
   104     0.02655     0.02655     0.15888     1.4s
   105     0.03565     0.03565     0.21111     1.4s
   106     0.02502     0.02502     0.22026     1.4s
   107     0.01048     0.01048     0.21519     1.4s
   108     0.00900     0.00900     0.27539     1.4s
   109     0.01180     0.01180     0.38812     1.4s
   110     0.01765     0.01765     0.27455     1.4s
   111     0.05317     0.05317     0.07614     1.4s
   112     0.03113     0.03113     0.12098     1.4s
   113     0.00466     0.00466     0.36157     1.4s
   114     0.03285     0.03285     0.18052     1.4s
   115     0.00498     0.00498     0.26823     1.4s
   116     0.02633     0.02633     0.23813     1.4s
   117     0.03473     0.03473     0.28192     1.4s
   118     0.01552     0.01552     0.34574     1.4s
   119     0.04145     0.04145     0.08213     1.4s
   120     0.02233     0.02233     0.13517     1.4s
   121     0.02135     0.02135     0.19651     1.4s
   122     0.08496     0.08496     0.41415     1.4s
   123     0.01979     0.01979     0.37695     1.4s
   124     0.03079     0.03079     0.42636     1.4s
   125     0.03276     0.03276     0.36681     1.4s
   126     0.01569     0.01569     0.27042     1.4s
   127     0.03176     0.03176     0.37270     1.4s
   128     0.04017     0.04017     0.27758     1.4s
   129     0.02278     0.02278     0.32213     1.4s
   130     0.02797     0.02797     0.45741     1.4s
   131     0.01644     0.01644     0.16078     1.4s
   132     0.04071     0.04071     0.22194     1.4s
   133     0.03146     0.03146     0.30777     1.4s
   134     0.03880     0.03880     0.29453     1.4s
   135     0.04267     0.04267     0.62463     1.4s
   136     0.03835     0.03835     0.19636     1.4s
   137     0.02452     0.02452     0.19337     1.4s
   138     0.05055     0.05055     0.24984     1.4s
   139     0.03938     0.03938     0.17157     1.4s
   140     0.00672     0.00672     0.27013     1.4s
   141     0.02361     0.02361     0.29234     1.4s
   142     0.02692     0.02692     0.35410     1.4s
   143     0.01503     0.01503     0.21833     1.4s
   144     0.03598     0.03598     0.23058     1.4s
   145     0.02279     0.02279     0.36785     1.4s
   146     0.02981     0.02981     0.41212     1.4s
   147     0.02365     0.02365     0.26287     1.4s
   148     0.00891     0.00891     0.31433     1.4s
   149     0.04082     0.04082     0.29975     1.4s
   150     0.00964     0.00964     0.44693     1.4s

Fine-tuning complete.
Best train loss: 0.00351 at epoch 33
Best model: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real/best_model.pth
