This job can be monitored from: https://job.c3se.chalmers.se/alvis/6415359
============================================================
Real Data Fine-tuning — 2026-04-15 17:14:42
LR=1e-05  WD=0.0001  epochs=150  smooth_lambda=1e-07
Slice fractions: [0.25, 0.375, 0.5, 0.625]  →  8 cases × 4 positions = 32 effective samples
Train: ['copd01', 'copd02', 'copd03', 'copd04', 'copd05', 'copd06', 'copd07', 'copd08']
Test:  ['copd09', 'copd10']
============================================================
Device: cuda
Real DVF stats: mean=1.2394 mm, std=15.0029 mm

=== Loading training cases ===
  copd01  mean_mag=9.265 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd02  mean_mag=5.116 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd03  mean_mag=3.931 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd04  mean_mag=10.140 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd05  mean_mag=11.287 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd06  mean_mag=7.941 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd07  mean_mag=6.433 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd08  mean_mag=8.776 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
Total dataset size: 32 (8 cases × 4 positions)
Train batches per epoch: 40
Loaded pretrained: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth

 Epoch       Train         MSE      Smooth      Time
-------------------------------------------------------
     1     0.63139     0.63139     4.42741     1.9s *** BEST ***
     2     0.34346     0.34346     2.41435     1.4s *** BEST ***
     3     0.08964     0.08964     5.72864     1.4s *** BEST ***
     4     0.06944     0.06944     2.88528     1.4s *** BEST ***
     5     0.10626     0.10626     4.71344     1.4s
     6     0.12396     0.12396     2.87743     1.4s
     7     0.03371     0.03371     4.91515     1.4s *** BEST ***
     8     0.09158     0.09158     2.52080     1.4s
     9     0.02731     0.02730     4.38531     1.4s *** BEST ***
    10     0.02702     0.02702     4.14127     1.4s *** BEST ***
    11     0.10795     0.10795     3.24581     1.4s
    12     0.04826     0.04826     2.27014     1.4s
    13     0.05037     0.05037     3.14993     1.4s
    14     0.06214     0.06214     4.52702     1.4s
    15     0.09424     0.09424     5.03321     1.4s
    16     0.01843     0.01843     5.18652     1.4s *** BEST ***
    17     0.05751     0.05751     3.48898     1.4s
    18     0.04598     0.04598     3.27560     1.4s
    19     0.02261     0.02261     4.97615     1.4s
    20     0.04505     0.04505     3.91367     1.4s
    21     0.01632     0.01632     4.69989     1.4s *** BEST ***
    22     0.02272     0.02272     5.16172     1.4s
    23     0.01671     0.01671     2.46711     1.4s
    24     0.04520     0.04520     5.19905     1.4s
    25     0.06555     0.06555     2.48564     1.4s
    26     0.05165     0.05165     5.93579     1.4s
    27     0.07430     0.07430     1.48111     1.4s
    28     0.02449     0.02449     4.75886     1.4s
    29     0.03191     0.03191     6.34251     1.4s
    30     0.05248     0.05248     2.42910     1.4s
    31     0.02862     0.02862     0.88841     1.4s
    32     0.04475     0.04475     0.91399     1.4s
    33     0.08514     0.08514     4.42914     1.4s
    34     0.01715     0.01715     1.27142     1.4s
    35     0.02515     0.02515     1.53641     1.4s
    36     0.03438     0.03438     3.00657     1.4s
    37     0.03617     0.03617     2.19141     1.4s
    38     0.02913     0.02913     3.66460     1.4s
    39     0.03372     0.03372     6.57778     1.4s
    40     0.03310     0.03310     4.59465     1.4s
    41     0.06474     0.06474     4.58184     1.4s
    42     0.03437     0.03437     1.82091     1.4s
    43     0.04229     0.04229     3.99406     1.4s
    44     0.06083     0.06083     5.89846     1.4s
    45     0.03306     0.03306     6.16652     1.4s
    46     0.01172     0.01172     2.27550     1.4s *** BEST ***
    47     0.03624     0.03624     6.27637     1.4s
    48     0.03723     0.03723     3.96938     1.4s
    49     0.00808     0.00808     2.95249     1.4s *** BEST ***
    50     0.02424     0.02424     3.45785     1.4s
    51     0.00994     0.00994     3.18938     1.4s
    52     0.02843     0.02843     6.37675     1.4s
    53     0.03143     0.03143     2.51622     1.4s
    54     0.01581     0.01581     4.99705     1.4s
    55     0.01359     0.01359     8.53751     1.4s
    56     0.01801     0.01801     2.03941     1.4s
    57     0.02226     0.02226     5.14720     1.4s
    58     0.06285     0.06285     3.39502     1.4s
    59     0.02797     0.02797     3.03155     1.4s
    60     0.03690     0.03690     2.96515     1.4s
    61     0.01291     0.01291     2.59514     1.4s
    62     0.05265     0.05265     1.54581     1.4s
    63     0.02170     0.02170     1.77547     1.4s
    64     0.04779     0.04779     5.92241     1.4s
    65     0.00758     0.00758     2.90073     1.4s *** BEST ***
    66     0.02006     0.02006     3.10987     1.4s
