This job can be monitored from: https://job.c3se.chalmers.se/alvis/6341546
============================================================
Real Data Fine-tuning — started 2026-04-06 13:27:37
Log: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real/finetune_real.log
Pretrained: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Saving to:  /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real
LR=1e-05  WD=0.0001  epochs=150  smooth_lambda=1e-07
Train cases: ['copd01', 'copd02', 'copd03', 'copd04', 'copd05', 'copd06', 'copd07', 'copd08']
Test  cases: ['copd09', 'copd10']  (never used in training)
============================================================
Device: cuda

=== Loading synthetic DVF stats for normalisation ===
  dvf_mean = -3.174312
  dvf_std  = 10.820530

=== Loading training cases ===
  copd01  shape=(3, 128, 128, 64)  mean_mag=9.265 mm  (normalised range [-3.47, 5.11])
  copd02  shape=(3, 128, 128, 64)  mean_mag=5.116 mm  (normalised range [-2.03, 3.82])
  copd03  shape=(3, 128, 128, 64)  mean_mag=3.931 mm  (normalised range [-2.51, 2.35])
  copd04  shape=(3, 128, 128, 64)  mean_mag=10.140 mm  (normalised range [-5.63, 4.88])
  copd05  shape=(3, 128, 128, 64)  mean_mag=11.287 mm  (normalised range [-4.66, 5.33])
  copd06  shape=(3, 128, 128, 64)  mean_mag=7.941 mm  (normalised range [-3.60, 5.03])
  copd07  shape=(3, 128, 128, 64)  mean_mag=6.433 mm  (normalised range [-3.26, 2.71])
  copd08  shape=(3, 128, 128, 64)  mean_mag=8.776 mm  (normalised range [-5.41, 3.40])
Train batches per epoch: 40

Loaded CFG pretrained weights from: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Starting real data fine-tuning from scratch...

 Epoch       Train         MSE      Smooth      Time              
    97     0.03121     0.03121     6.55232     1.4s
    98     0.06957     0.06957     5.44606     1.4s
    99     0.03815     0.03815     3.40618     1.4s
   100     0.03365     0.03365     2.55845     1.4s
   101     0.03519     0.03519     5.13984     1.4s
   102     0.03146     0.03146     2.94812     1.4s
   103     0.03281     0.03281     5.77783     1.4s
   104     0.03990     0.03989     8.05524     1.4s
   105     0.05358     0.05358     3.51067     1.4s
   106     0.01169     0.01169     2.87462     1.4s
   107     0.03069     0.03069     9.49765     1.4s
   108     0.06810     0.06810     1.12501     1.4s
   109     0.00957     0.00957     7.16552     1.4s
   110     0.07290     0.07290     5.93042     1.4s
   111     0.01480     0.01480     6.41936     1.4s
   112     0.00867     0.00867     7.17313     1.4s
   113     0.02764     0.02764     4.39897     1.4s
   114     0.01341     0.01341     4.48115     1.4s
   115     0.05880     0.05880     5.10871     1.4s
   116     0.00950     0.00950     6.99067     1.4s
   117     0.00862     0.00862     1.69854     1.4s
   118     0.01017     0.01017     1.09124     1.4s
   119     0.01079     0.01079     6.10005     1.4s
   120     0.05261     0.05261     5.60942     1.4s
   121     0.03895     0.03895     5.45174     1.4s
   122     0.06162     0.06162     7.12161     1.4s
   123     0.04353     0.04353     5.01418     1.4s
   124     0.01007     0.01007     2.36767     1.4s
   125     0.07332     0.07332     4.23487     1.4s
   126     0.06747     0.06747     7.17528     1.4s
   127     0.02482     0.02482     1.73862     1.4s
   128     0.03464     0.03464     6.02074     1.4s
   129     0.03453     0.03453     4.29780     1.4s
   130     0.01306     0.01306     4.65735     1.4s
   131     0.01964     0.01964     2.90274     1.4s
   132     0.03921     0.03921     2.27190     1.4s
   133     0.02830     0.02830     1.98792     1.4s
   134     0.08004     0.08004     3.68276     1.4s
   135     0.04136     0.04136     6.05167     1.4s
   136     0.03303     0.03303     0.43876     1.4s
   137     0.02760     0.02760     5.44343     1.4s
   138     0.03024     0.03024     5.49515     1.4s
   139     0.02138     0.02138     5.67782     1.4s
   140     0.04832     0.04832     6.13116     1.4s
   141     0.01848     0.01848     3.44092     1.4s
   142     0.08092     0.08092     6.69706     1.4s
   143     0.03979     0.03979     3.41883     1.4s
   144     0.09500     0.09500     4.18162     1.4s
   145     0.02973     0.02973     4.28104     1.4s
   146     0.04408     0.04408     4.62192     1.4s
   147     0.03327     0.03327     3.18922     1.4s
   148     0.06563     0.06563     3.08248     1.4s
   149     0.02783     0.02783     0.79618     1.4s
   150     0.00904     0.00904     4.66780     1.4s

Fine-tuning complete.
Best train loss: 0.00763 at epoch 47
Best model: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real/best_model.pth
